i j lamda_ij(AA) Aji_E1 fij_E1 S_E1 Aji_E2 Aji_M1 Aji_M2
1 3 1.955E+03 1.058E+04 1.820E-05 1.172E-04 0.000E+00 0.000E+00 0.000E+00
1 4 1.946E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.089E-02
1 5 1.185E+03 2.658E+09 1.679E+00 6.552E+00 0.000E+00 0.000E+00 0.000E+00
1 6 8.354E+02 0.000E+00 0.000E+00 0.000E+00 1.604E+04 0.000E+00 0.000E+00
1 8 7.780E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.086E-02 0.000E+00
1 9 7.765E+02 0.000E+00 0.000E+00 0.000E+00 7.321E+00 0.000E+00 0.000E+00
1 11 7.004E+02 0.000E+00 0.000E+00 0.000E+00 4.147E-03 0.000E+00 0.000E+00
1 12 7.004E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.881E-05 0.000E+00
1 13 6.615E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.300E-04 0.000E+00
1 16 5.877E+02 0.000E+00 0.000E+00 0.000E+00 9.491E+04 0.000E+00 0.000E+00
1 18 5.785E+02 2.788E+05 4.196E-05 7.992E-05 0.000E+00 0.000E+00 0.000E+00
1 19 5.783E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.574E-02
1 20 5.723E+02 2.429E+08 3.579E-02 6.742E-02 0.000E+00 0.000E+00 0.000E+00
1 21 5.087E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.841E-05
1 24 5.017E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.478E-05 0.000E+00
1 25 5.017E+02 0.000E+00 0.000E+00 0.000E+00 3.837E-03 0.000E+00 0.000E+00
1 28 4.932E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.803E-02
1 29 4.888E+02 0.000E+00 0.000E+00 0.000E+00 5.588E+02 0.000E+00 0.000E+00
1 30 4.815E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.387E-05
1 33 4.641E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.756E-02
1 34 4.639E+02 2.916E+03 2.822E-07 4.310E-07 0.000E+00 0.000E+00 0.000E+00
1 36 4.608E+02 1.687E+03 1.611E-07 2.444E-07 0.000E+00 0.000E+00 0.000E+00
1 37 4.607E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.590E-04
1 40 4.466E+02 1.220E+04 1.094E-06 1.609E-06 0.000E+00 0.000E+00 0.000E+00
1 41 4.460E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.496E-02
1 42 4.373E+02 5.831E+06 5.014E-04 7.218E-04 0.000E+00 0.000E+00 0.000E+00
1 44 4.170E+02 2.486E+06 1.944E-04 2.669E-04 0.000E+00 0.000E+00 0.000E+00
1 45 4.168E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.058E-05 0.000E+00
1 46 4.138E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.435E-06 0.000E+00
1 47 4.136E+02 0.000E+00 0.000E+00 0.000E+00 1.035E+00 0.000E+00 0.000E+00
1 50 4.078E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.363E-02 0.000E+00
1 51 4.075E+02 0.000E+00 0.000E+00 0.000E+00 1.970E+00 0.000E+00 0.000E+00
1 52 4.058E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.138E-04 0.000E+00
1 53 3.994E+02 0.000E+00 0.000E+00 0.000E+00 2.709E+03 0.000E+00 0.000E+00
1 55 3.734E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.601E-02
1 56 3.723E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.703E-04
1 59 3.709E+02 6.768E+03 4.187E-07 5.112E-07 0.000E+00 0.000E+00 0.000E+00
1 60 3.708E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.944E-04
1 62 3.675E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.224E-02
1 63 3.673E+02 5.122E+03 3.108E-07 3.758E-07 0.000E+00 0.000E+00 0.000E+00
1 66 3.670E+02 0.000E+00 0.000E+00 0.000E+00 4.583E-02 0.000E+00 0.000E+00
1 74 3.609E+02 0.000E+00 0.000E+00 0.000E+00 1.666E+02 0.000E+00 0.000E+00
1 76 3.602E+02 0.000E+00 0.000E+00 0.000E+00 1.053E+01 0.000E+00 0.000E+00
1 77 3.602E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.926E-07 0.000E+00
1 78 3.555E+02 3.838E+07 2.182E-03 2.553E-03 0.000E+00 0.000E+00 0.000E+00
1 79 3.393E+02 0.000E+00 0.000E+00 0.000E+00 3.096E-04 0.000E+00 0.000E+00
1 83 3.310E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.405E-04 0.000E+00
1 84 3.310E+02 0.000E+00 0.000E+00 0.000E+00 3.523E-04 0.000E+00 0.000E+00
1 85 3.283E+02 0.000E+00 0.000E+00 0.000E+00 7.779E+03 0.000E+00 0.000E+00
1 87 3.211E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.860E-07 0.000E+00
1 88 3.211E+02 0.000E+00 0.000E+00 0.000E+00 1.051E-03 0.000E+00 0.000E+00
1 90 3.154E+02 0.000E+00 0.000E+00 0.000E+00 3.479E+03 0.000E+00 0.000E+00
1 92 3.045E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.042E-02
